ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
EVRG,2018-12-31,8526700000.0,-1186200000,16700000.0,428100000,-1538400000,1497800000
EVRG,2019-12-31,9949800000.0,-868200000,7200000.0,226700000,-403900000,822800000
EVRG,2020-12-31,10321100000.0,-731500000,5300000.0,193500000,-98400000,1753800000
EVRG,2021-12-31,11165500000.0,-1392600000,13700000.0,-620800000,443400000,1351700000
FLEX,2019-03-31,3054515000.0,1505919000,2612961000.0,-3696630000,-29704000,-2971024000
FLEX,2020-03-31,3367206000.0,1875185000,2435982000.0,-1995021000,-508460000,-1533276000
FLEX,2021-03-31,4345000000.0,3529000000,4106000000.0,-207000000,743000000,144000000
FLEX,2022-03-31,4748000000.0,3626000000,3371000000.0,581000000,280000000,1024000000
FLS,2018-12-31,1483047000.0,1302170000,792434000.0,106838000,-173284000,190831000
FLS,2019-12-31,1564880000.0,1392482000,795538000.0,246571000,-229654000,312741000
FLS,2020-12-31,1938142000.0,1762700000,749179000.0,253132000,147587000,310537000
FLS,2021-12-31,1502242000.0,1256872000,715016000.0,195183000,-599707000,250119000
FTNT,2021-12-31,988400000.0,1282500000,807700000.0,1203800000,82800000,1499700000
FTNT,2018-12-31,,964500000,444500000.0,585900000,-202600000,638900000
FTNT,2019-12-31,,1295400000,544300000.0,715800000,-195600000,808000000
FTNT,2020-12-31,,910900000,720000000.0,957800000,-1171600000,1083700000
FTS,2018-12-31,24787000000.0,-991000000,538000000.0,-614000000,644000000,2604000000
FTS,2019-12-31,23216000000.0,-1602000000,504000000.0,-1057000000,154000000,2663000000
FTS,2020-12-31,24863000000.0,-1536000000,595000000.0,-1338000000,1327000000,2701000000
FTS,2021-12-31,25947000000.0,-2074000000,621000000.0,-479000000,451000000,2907000000
GD,2018-12-31,12417000000.0,3450000000,3759000000.0,2458000000,5086000000,3148000000
GD,2019-12-31,13433000000.0,2979000000,3544000000.0,1994000000,-1997000000,2981000000
GD,2020-12-31,14409000000.0,5579000000,3161000000.0,2891000000,-903000000,3858000000
GD,2021-12-31,13175000000.0,6009000000,3041000000.0,3384000000,-4590000000,4271000000
GE,2018-12-31,109956000000.0,55278000000,27573000000.0,-3810000000,-31033000000,4246000000
GE,2019-12-31,94046000000.0,59297000000,15728000000.0,2677000000,-16133000000,8772000000
GE,2020-12-31,75066000000.0,32343000000,14724000000.0,194000000,-19852000000,3597000000
GE,2021-12-31,38032000000.0,14397000000,13079000000.0,1971000000,-45177000000,3332000000
GILD,2018-12-31,27322000000.0,25231000000,3327000000.0,7476000000,-12318000000,8400000000
GILD,2019-12-31,24593000000.0,20537000000,3582000000.0,8319000000,-7634000000,9144000000
GILD,2020-12-31,31402000000.0,4599000000,4892000000.0,7518000000,770000000,8168000000
GILD,2021-12-31,26695000000.0,3162000000,4493000000.0,10805000000,-8877000000,11384000000
GLW,2018-12-31,5998000000.0,3723000000,1940000000.0,609000000,-1995000000,2919000000
GLW,2019-12-31,8252000000.0,3942000000,1836000000.0,44000000,-47000000,2031000000
GLW,2020-12-31,8701000000.0,4237000000,2133000000.0,803000000,-729000000,2180000000
GLW,2021-12-31,7829000000.0,2853000000,2004000000.0,1775000000,-2452000000,3412000000
GM,2018-12-31,104951000000.0,-6944000000,33399000000.0,-10241000000,11454000000,15256000000
GM,2019-12-31,104334000000.0,-9913000000,33398000000.0,-8975000000,-4677000000,15021000000
GM,2020-12-31,110863000000.0,1014000000,34244000000.0,-3863000000,5552000000,16670000000
GM,2021-12-31,110391000000.0,7695000000,34043000000.0,-6923000000,1744000000,15188000000
GPS,2019-01-31,1249000000.0,2077000000,359000000.0,676000000,-749000000,1381000000
GPS,2020-01-31,7677000000.0,1307000000,316000000.0,366000000,-560000000,1411000000
GPS,2021-01-31,7664000000.0,2124000000,363000000.0,-155000000,895000000,237000000
GPS,2022-01-31,6251000000.0,1088000000,399000000.0,115000000,-1471000000,809000000
GWW,2018-12-31,2220000000.0,2056000000,1385000000.0,818000000,-670000000,1057000000
GWW,2019-12-31,2215000000.0,1877000000,1425000000.0,821000000,-1023000000,1042000000
GWW,2020-12-31,2397000000.0,2478000000,1474000000.0,926000000,-726000000,1123000000
GWW,2021-12-31,2762000000.0,2483000000,1754000000.0,682000000,-1039000000,937000000
HAL,2018-12-31,10457000000.0,6349000000,5234000000.0,1131000000,-1419000000,3157000000
HAL,2019-12-31,11349000000.0,6334000000,4577000000.0,915000000,-695000000,2445000000
HAL,2020-12-31,10836000000.0,5054000000,3071000000.0,1153000000,-1007000000,1881000000
HAL,2021-12-31,10219000000.0,5637000000,3666000000.0,1112000000,-838000000,1911000000
HAS,2018-12-31,1704832000.0,1808180000,1188052000.0,505571000,-737101000,645997000
HAS,2019-12-31,4046960000.0,5490439000,1410597000.0,519425000,2810573000,653061000
HAS,2020-12-31,5099212000.0,1443304000,1391726000.0,850586000,405949000,976340000
HAS,2021-12-31,4025100000.0,1272200000,1500400000.0,685200000,-1459800000,817900000
HD,2019-01-31,29202000000.0,1813000000,1640000000.0,10596000000,-12420000000,13038000000
HD,2020-01-31,37377000000.0,1435000000,1738000000.0,11045000000,-10834000000,13723000000
HD,2021-01-31,43422000000.0,5311000000,2550000000.0,16376000000,-2983000000,18839000000
HD,2022-01-31,46269000000.0,362000000,2901000000.0,14005000000,-19120000000,16571000000
HES,2018-12-31,6672000000.0,2256000000,1001000000.0,-158000000,-2526000000,1939000000
HES,2019-12-31,7932000000.0,646000000,1170000000.0,-1187000000,52000000,1642000000
HES,2020-12-31,9075000000.0,1458000000,860000000.0,-864000000,568000000,1333000000
HES,2021-12-31,9141000000.0,1282000000,1211000000.0,1143000000,-591000000,2890000000
HON,2018-12-31,16214000000.0,5438000000,7508000000.0,5606000000,-5032000000,6434000000
HON,2019-12-31,16707000000.0,6205000000,7493000000.0,6058000000,-6600000000,6897000000
HON,2020-12-31,23212000000.0,8978000000,6827000000.0,5302000000,-81000000,6208000000
HON,2021-12-31,20631000000.0,5864000000,6830000000.0,5143000000,-8254000000,6038000000
HPE,2018-10-31,12141000000.0,74000000,3117000000.0,8000000,-5592000000,2964000000
HPE,2019-10-31,13820000000.0,-4016000000,6323000000.0,1141000000,-1548000000,3997000000
HPE,2020-10-31,17027000000.0,-2182000000,6975000000.0,-143000000,883000000,2240000000
HPE,2021-10-31,14578000000.0,-1809000000,7705000000.0,3369000000,-3364000000,5871000000
HPQ,2018-10-31,5987000000.0,-3744000000,5113000000.0,3982000000,-5643000000,4528000000
HPQ,2019-10-31,5137000000.0,-5116000000,6031000000.0,3983000000,-4845000000,4654000000
HPQ,2020-10-31,7396000000.0,-5572000000,5381000000.0,3736000000,-2973000000,4316000000
HPQ,2021-10-31,8778000000.0,-6926000000,5511000000.0,5827000000,-5962000000,6409000000
HUN,2018-12-31,2320000000.0,1347000000,1272000000.0,894000000,-424000000,1207000000
HUN,2019-12-31,2815000000.0,1747000000,953000000.0,623000000,-450000000,897000000
HUN,2020-12-31,2584000000.0,1589000000,910000000.0,4000000,-655000000,253000000
HUN,2021-12-31,1971000000.0,1877000000,1186000000.0,610000000,-977000000,952000000
IBM,2018-12-31,45812000000.0,10919000000,7432000000.0,11283000000,-10469000000,15247000000
IBM,2019-12-31,68158000000.0,719000000,7870000000.0,11863000000,9042000000,14770000000
IBM,2020-12-31,66469000000.0,-704000000,7132000000.0,14967000000,-9721000000,18197000000
IBM,2021-12-31,55139000000.0,-4080000000,6754000000.0,10028000000,-13354000000,12796000000
IMO,2018-12-31,5180000000.0,1400000000,2529000000.0,2431000000,-2570000000,3922000000
IMO,2019-12-31,5333000000.0,1734000000,2699000000.0,2793000000,-1995000000,4429000000
