ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
BATS.L,2021-12-31,39658000000.0,-2337000000.0,3951000000.0,8972000000.0,-8749000000.0,9717000000.0,31000000.0
BAX,2018-12-31,3477000000.0,3083000000.0,1812000000.0,1415000000.0,-2603000000.0,2096000000.0,
BAX,2019-12-31,5961000000.0,4273000000.0,1896000000.0,1408000000.0,498000000.0,2104000000.0,
BAX,2020-12-31,6804000000.0,5078000000.0,2077000000.0,1159000000.0,-345000000.0,1868000000.0,
BAX,2021-12-31,18310000000.0,4636000000.0,2629000000.0,1479000000.0,8245000000.0,2222000000.0,
BBWI,2019-01-31,5811000000.0,1274000000.0,367000000.0,748000000.0,-872000000.0,1377000000.0,
BBWI,2020-01-31,9078000000.0,873000000.0,306000000.0,778000000.0,-666000000.0,1236000000.0,
BBWI,2021-01-31,9455000000.0,2753000000.0,269000000.0,1811000000.0,610000000.0,2039000000.0,
BBWI,2022-01-31,6013000000.0,1719000000.0,240000000.0,1222000000.0,-3188000000.0,1492000000.0,
BBY,2019-01-31,1388000000.0,1357000000.0,1015000000.0,1589000000.0,-2018000000.0,2408000000.0,
BBY,2020-01-31,4069000000.0,797000000.0,1149000000.0,1822000000.0,-1498000000.0,2565000000.0,
BBY,2021-01-31,3991000000.0,2019000000.0,1061000000.0,4214000000.0,-876000000.0,4927000000.0,
BBY,2022-01-31,3888000000.0,-135000000.0,1042000000.0,2515000000.0,-4297000000.0,3252000000.0,
BC,2018-12-31,1220800000.0,623700000.0,550700000.0,143600000.0,620500000.0,337000000.0,6700000.0
BC,2019-12-31,1197800000.0,581400000.0,331800000.0,201600000.0,-600800000.0,434200000.0,7300000.0
BC,2020-12-31,1040400000.0,591300000.0,337600000.0,615900000.0,-361800000.0,798300000.0,2900000.0
BC,2021-12-31,1917700000.0,682400000.0,485300000.0,306900000.0,621800000.0,574000000.0,7200000.0
BCC,2018-12-31,439428000.0,615953000.0,214338000.0,83624000.0,-59823000.0,163611000.0,15003000.0
BCC,2019-12-31,521992000.0,637772000.0,215894000.0,162927000.0,-58016000.0,245647000.0,2493000.0
BCC,2020-12-31,531400000.0,784853000.0,375865000.0,215087000.0,-95655000.0,294516000.0,0.0
BCC,2021-12-31,531789000.0,1245132000.0,444325000.0,560466000.0,-217873000.0,666984000.0,0.0
BDX,2018-09-30,21495000000.0,195000000.0,2319000000.0,1970000000.0,-58000000.0,2865000000.0,
BDX,2019-09-30,19390000000.0,1009000000.0,2345000000.0,2371000000.0,-3223000000.0,3328000000.0,
BDX,2020-09-30,17930000000.0,3133000000.0,2398000000.0,2729000000.0,22000000.0,3539000000.0,
BDX,2021-09-30,17610000000.0,2212000000.0,2497000000.0,3416000000.0,-3306000000.0,4647000000.0,
BECN,2018-09-30,2620467000.0,888795000.0,1090533000.0,493371000.0,2236051000.0,539381000.0,
BECN,2019-09-30,2598882000.0,1073472000.0,1108134000.0,155622000.0,-58769000.0,212653000.0,
BECN,2020-09-30,3198500000.0,1345600000.0,1029300000.0,430800000.0,112200000.0,479300000.0,
BECN,2021-09-30,2052200000.0,1205600000.0,978300000.0,11500000.0,-1216000000.0,78000000.0,
BECN,2021-12-31,2070600000.0,1238200000.0,855200000.0,94900000.0,-1119300000.0,166700000.0,
BF-B,2019-04-30,2440000000.0,2016000000.0,609000000.0,679000000.0,-599000000.0,800000000.0,
BF-B,2020-04-30,2602000000.0,2385000000.0,570000000.0,605000000.0,-191000000.0,724000000.0,
BF-B,2021-04-30,2559000000.0,2999000000.0,753000000.0,752000000.0,-485000000.0,817000000.0,
BIIB,2018-12-31,5936500000.0,4345700000.0,2485400000.0,5301600000.0,-4472000000.0,6187700000.0,
BIIB,2019-12-31,6367500000.0,3518000000.0,2470700000.0,6409100000.0,-5860400000.0,7078600000.0,
BIIB,2020-12-31,7828200000.0,3144900000.0,2327300000.0,3678000000.0,-5272700000.0,4229800000.0,
BIIB,2021-12-31,7603500000.0,3558300000.0,1961700000.0,3345000000.0,-2086200000.0,3639900000.0,
BIO,2018-12-31,439430000.0,1572683000.0,392443000.0,155666000.0,-48680000.0,285494000.0,4315000.0
BIO,2019-12-31,651134000.0,1274660000.0,392672000.0,359365000.0,-22758000.0,457897000.0,129000.0
BIO,2020-12-31,225691000.0,1508299000.0,419424000.0,476408000.0,-523041000.0,575328000.0,70000.0
BIO,2021-12-31,223376000.0,1308150000.0,423537000.0,535718000.0,-55429000.0,656521000.0,52000.0
BKR,2018-12-31,7227000000.0,5951000000.0,4974000000.0,767000000.0,-4363000000.0,1762000000.0,
BKR,2019-12-31,6622000000.0,5208000000.0,5448000000.0,886000000.0,-1534000000.0,2126000000.0,
BKR,2020-12-31,7633000000.0,6228000000.0,4676000000.0,330000000.0,225000000.0,1304000000.0,
BKR,2021-12-31,6727000000.0,5937000000.0,4724000000.0,1518000000.0,-2143000000.0,2374000000.0,
BLD,2018-12-31,743474000.0,260437000.0,407106000.0,114668000.0,429055000.0,167172000.0,849000.0
BLD,2019-12-31,822331000.0,303073000.0,428844000.0,226241000.0,-137757000.0,271777000.0,2321000.0
BLD,2020-12-31,793963000.0,439928000.0,427340000.0,316946000.0,-90801000.0,357884000.0,2463000.0
BLD,2021-12-31,1683210000.0,454265000.0,668419000.0,347479000.0,729007000.0,403025000.0,415000.0
BP,2018-12-31,65799000000.0,3073000000.0,19414000000.0,6166000000.0,-4079000000.0,22873000000.0,940000000.0
BP,2019-12-31,77446000000.0,8464000000.0,19424000000.0,10352000000.0,-8817000000.0,25770000000.0,500000000.0
BP,2020-12-31,81926000000.0,13183000000.0,12926000000.0,-144000000.0,3956000000.0,12162000000.0,491000000.0
BP,2021-12-31,69787000000.0,12303000000.0,22307000000.0,12725000000.0,-18079000000.0,23612000000.0,1145000000.0
BRBR,2018-09-30,1000000.0,69400000.0,84900000.0,136200000.0,-133000000.0,141200000.0,0.0
BRBR,2019-09-30,400000.0,126800000.0,62800000.0,95100000.0,-100200000.0,98300000.0,0.0
BRBR,2020-09-30,686400000.0,137100000.0,78300000.0,95100000.0,-52600000.0,97200000.0,
